bioguideid,congress,introduceddate,actiondate,text,number,policyArea name,title,type,url
l000506,96,1980-11-12,1980-11-12,Referred to House Committee on Interior and Insular Affairs.,8321,,"A bill to provide for a study of the suitability and feasibility of designating the Vietnam Veterans Chapel, Eagle Nest, New Mexico, as a national memorial to the Vietnam veterans.",HR,https://api.congress.gov/v3/bill/96/hr/8321?format=json
l000506,96,1980-10-02,1980-12-19,Public Law 96-550.,8298,,New Mexico Wilderness Act of 1980,HR,https://api.congress.gov/v3/bill/96/hr/8298?format=json
l000506,96,1980-08-27,1980-08-27,Referred to House Committee on Interior and Insular Affairs.,8045,,"A bill to authorize and direct the Secretary of the Interior to reinstate oil and gas leases Idaho 016790, Idaho 016791, Idaho 016792, Idaho 016793, Idaho 016813 and Idaho 017371.",HR,https://api.congress.gov/v3/bill/96/hr/8045?format=json
l000506,96,1980-06-25,1980-06-25,Referred to House Committee on Foreign Affairs.,7662,,A bill to establish certain fines to be imposed on any foreign government which holds hostage any citizen or employee of the United States.,HR,https://api.congress.gov/v3/bill/96/hr/7662?format=json
l000506,96,1980-05-21,1980-05-21,Referred to House Committee on House Administration.,7416,,"A bill to provide funds for the operation and maintenance of the Vietnam Veterans Peace and Brotherhood Chapel near Eagles Nest, New Mexico.",HR,https://api.congress.gov/v3/bill/96/hr/7416?format=json
l000506,96,1980-04-23,1980-04-23,Referred to House Committee on Interior and Insular Affairs.,7146,,A bill to establish a program for the leasing of Federal lands to certain non-Federal governmental units for use as shooting ranges.,HR,https://api.congress.gov/v3/bill/96/hr/7146?format=json
l000506,96,1980-04-01,1980-04-01,Referred to House Committee on Interior and Insular Affairs.,6992,,"A bill to amend the Atomic Energy Act of 1954, as amended, by establishing a Uranium Enrichment Fund within the Department of Energy, and for other purposes.",HR,https://api.congress.gov/v3/bill/96/hr/6992?format=json
l000506,96,1980-03-11,1980-03-11,Referred to House Committee on Interior and Insular Affairs.,6773,,"A bill to authorize the establishment of the Georgia O'Keeffe National Historic Site, and for other purposes.",HR,https://api.congress.gov/v3/bill/96/hr/6773?format=json
l000506,96,1980-03-05,1980-03-05,Referred to House Committee on Interior and Insular Affairs.,6720,,A bill to quiet title of property in Albert and Eulia Rodriquez.,HR,https://api.congress.gov/v3/bill/96/hr/6720?format=json
l000506,96,1979-12-20,1979-12-20,Referred to House Committee on Interstate and Foreign Commerce.,6212,,"A bill to amend the Atomic Energy Act of 1954 to require each State to provide for the disposal of low-level radioactive waste generated within that State, to authorize States to enter into agreements or compacts with other States for the establishment of regional disposal sites for low-level radioactive waste, and to provide financial assistance to the States in which such sites are located, and for other purposes.",HR,https://api.congress.gov/v3/bill/96/hr/6212?format=json
