bioguideId,invertedOrderName,currentMember,terms,startYear,birthYear,sponsoredLegislation,cosponsoredLegislation
L000604,"Lopez, Greg",True,1,2024,1964,N/A,12
G000579,"Gallagher, Mike",False,4,2017,1984,171,885
B001297,"Buck, Ken",False,5,2015,1959,123,801
P000604,"Payne, Donald M.",False,7,2012,1958,123,2946
C000537,"Clyburn, James E.",True,16,1993,1940,118,2706
I000024,"Inhofe, James M.",False,19,1987,1934,1297,5465
R000619,"Rulli, Michael A.",True,1,2024,1969,N/A,19
F000476,"Frost, Maxwell",True,1,2023,1997,15,463
F000480,"Fong, Vince",True,1,2024,1979,3,32
J000292,"Johnson, Bill",False,7,2011,1954,101,2163
R000122,"Reed, Jack",True,17,1991,1949,1102,4618
N000051,"Nethercutt, George R., Jr.",False,5,1995,1944,84,1194
M001188,"Meng, Grace",True,6,2013,1975,279,3173
C001132,"Crane, Elijah",True,1,2023,1980,25,753
C001084,"Cicilline, David N.",False,7,2011,1961,265,3849
V000135,"Van Orden, Derrick",True,1,2023,1969,30,283
G000600,"Perez, Marie Gluesenkamp",True,1,2023,1988,25,311
H001096,"Hageman, Harriet M.",True,1,2023,1962,66,286
B001318,"Balint, Becca",True,1,2023,1968,20,379
S001159,"Strickland, Marilyn",True,2,2021,1962,29,896
G000595,"Good, Bob",True,2,2021,1965,107,1218
F000471,"Fitzgerald, Scott",True,2,2021,1963,47,346
T000165,"Tiffany, Thomas P.",True,3,2020,1957,54,737
M001205,"Miller, Carol D.",True,3,2019,1950,67,693
S001213,"Steil, Bryan",True,3,2019,1981,59,494
S001216,"Schrier, Kim",True,3,2019,1968,79,931
W000825,"Wexton, Jennifer",True,3,2019,1968,61,839
S001209,"Spanberger, Abigail Davis",True,3,2019,1979,108,1365
C001118,"Cline, Ben",True,3,2019,1972,30,787
J000298,"Jayapal, Pramila",True,4,2017,1965,150,2567
M001195,"Mooney, Alexander X.",True,5,2015,1971,88,1512
G000576,"Grothman, Glenn",True,5,2015,1955,149,1708
N000189,"Newhouse, Dan",True,5,2015,1955,135,1343
P000610,"Plaskett, Stacey E.",True,5,2015,1966,114,865
B001292,"Beyer, Donald S.",True,5,2015,1950,201,2157
P000607,"Pocan, Mark",True,6,2013,1964,147,4168
K000381,"Kilmer, Derek",True,6,2013,1974,193,3494
D000617,"DelBene, Suzan K.",True,7,2012,1962,133,2713
G000568,"Griffith, H. Morgan",True,7,2011,1958,179,1121
C001078,"Connolly, Gerald E.",True,8,2009,1950,322,4387
S000510,"Smith, Adam",True,14,1997,1965,215,4663
M001160,"Moore, Gwen",True,10,2005,1951,252,5683
M001159,"McMorris Rodgers, Cathy",True,10,2005,1969,213,2388
L000560,"Larsen, Rick",True,12,2001,1965,164,3384
M001228,"Maloy, Celeste",True,1,2023,1981,14,66
M001227,"McClellan, Jennifer L.",True,1,2023,1972,17,373
S001224,"Self, Keith",True,1,2023,1953,25,292
O000175,"Ogles, Andrew",True,1,2023,1971,143,376
M001224,"Moran, Nathaniel",True,1,2023,1974,20,208
L000603,"Luttrell, Morgan",True,1,2023,1975,21,137
K000399,"Kiggans, Jennifer A.",True,1,2023,1971,24,265
H001095,"Hunt, Wesley",True,1,2023,1981,6,147
F000478,"Fry, Russell",True,1,2023,1985,12,218
D000594,"De La Cruz, Monica",True,1,2023,1974,22,297
C001130,"Crockett, Jasmine",True,1,2023,1981,19,600
C001131,"Casar, Greg",True,1,2023,1989,6,361
E000071,"Ellzey, Jake",True,2,2021,1970,7,479
V000134,"Van Duyne, Beth",True,2,2021,1970,61,524
P000048,"Pfluger, August",True,2,2021,1977,95,527
O000086,"Owens, Burgess",True,2,2021,1951,37,585
N000026,"Nehls, Troy E.",True,2,2021,1968,59,479
M001213,"Moore, Blake D.",True,2,2021,1980,51,364
M000194,"Mace, Nancy",True,2,2021,1977,87,803
J000304,"Jackson, Ronny",True,2,2021,1967,66,785
H001086,"Harshbarger, Diana",True,2,2021,1960,43,593
G000594,"Gonzales, Tony",True,2,2021,1980,56,395
F000246,"Fallon, Pat",True,2,2021,1967,40,501
A000376,"Allred, Colin Z.",True,3,2019,1983,46,1290
G000587,"Garcia, Sylvia R.",True,3,2019,1950,67,1359
R000614,"Roy, Chip",True,3,2019,1972,159,1041
E000299,"Escobar, Veronica",True,3,2019,1969,56,1203
F000468,"Fletcher, Lizzie",True,3,2019,1975,46,865
G000589,"Gooden, Lance",True,3,2019,1982,55,850
C001120,"Crenshaw, Dan",True,3,2019,1984,73,951
G000590,"Green, Mark E.",True,3,2019,1964,95,530
R000612,"Rose, John W.",True,3,2019,1965,28,508
