bioguideId,congress,type,number,introducedDate,actionDate,PolicyArea_name,Latest_Action_text,url,congress_type_number,title
l000506,93,HR,12881,1974-02-19,1974-02-19,"Arts, Culture, Religion",Referred to Joint Committee on Atomic Energy.,https://api.congress.gov/v3/bill/93/hr/12881?format=json,93_HR_12881,A bill to provide for the establishment of a National Museum.
l000506,93,HR,11334,1973-11-07,1973-11-07,"Arts, Culture, Religion",Referred to House Committee on House Administration.,https://api.congress.gov/v3/bill/93/hr/11334?format=json,93_HR_11334,American Folklife Preservation Act
l000506,93,HJRES,742,1973-09-25,1973-09-25,"Arts, Culture, Religion",Referred to House Committee on Interior and Insular Affairs.,https://api.congress.gov/v3/bill/93/hjres/742?format=json,93_HJRES_742,"Joint resolution authorizing the Secretary of the Interior to establish a memorial museum at Las Vegas, N. Mex., to commemorate the Rough Riders and related history of the Southwest."
l000506,94,HJRES,198,1975-02-05,1975-02-05,"Arts, Culture, Religion",Referred to House Committee on Interior and Insular Affairs.,https://api.congress.gov/v3/bill/94/hjres/198?format=json,94_HJRES_198,"Joint resolution authorizing the Secretary of the Interior to establish a memorial museum at Las Vegas, N. Mex., to commemorate the Rough Riders and related history of the Southwest."
k000366,111,HRES,529,2009-06-11,2009-06-11,"Arts, Culture, Religion",Motion to reconsider laid on the table Agreed to without objection.,https://api.congress.gov/v3/bill/111/hres/529?format=json,111_HRES_529,"Condemning the violent attack on the United States Holocaust Memorial Museum on June 10, 2009 and honoring the bravery and dedication of United States Holocaust Memorial Museum employees and security personnel."
m000811,98,SJRES,301,1984-05-24,1984-09-26,"Arts, Culture, Religion",Committee on Rules. Ordered favorably reported H.J.Res. 580 in lieu of this measure.,https://api.congress.gov/v3/bill/98/sjres/301?format=json,98_SJRES_301,"A joint resolution to authorize the Kahlil Gibran Centennial Foundation of Washington, D.C., to erect a memorial in the District of Columbia."
m000811,101,S,1756,1989-10-16,1990-11-08,"Arts, Culture, Religion",Became Public Law No: 101-543.,https://api.congress.gov/v3/bill/101/s/1756?format=json,101_S_1756,Maine Acadian Culture Preservation Act
j000288,115,HRES,1073,2018-09-20,2018-09-20,Immigration,Referred to the House Committee on the Judiciary.,https://api.congress.gov/v3/bill/115/hres/1073?format=json,115_HRES_1073,"Expressing the sense of the House of Representatives that the Presidential Determination of the annual refugee admissions limit in fiscal year 2019 shall be no less than 110,000 and that President Trump and his administration must operate the United States Refugee Admissions Program (USRAP) in good faith."
h001041,115,SRES,560,2018-06-28,2018-06-28,Immigration,Referred to the Committee on the Judiciary. (text of measure as introduced: CR S4742-4743),https://api.congress.gov/v3/bill/115/sres/560?format=json,115_SRES_560,"A resolution designating the month of June 2018 as ""Immigrant Heritage Month""."
h001041,115,S,2380,2018-02-06,2018-02-06,Immigration,Read twice and referred to the Committee on the Judiciary.,https://api.congress.gov/v3/bill/115/s/2380?format=json,115_S_2380,Criminal Alien Gang Member Removal Act
w000792,112,HR,1027,2011-03-10,2011-04-04,"Arts, Culture, Religion",Referred to the Subcommittee on Domestic Monetary Policy and Technology.,https://api.congress.gov/v3/bill/112/hr/1027?format=json,112_HR_1027,"Father Mychal Judge, O.F.M., Congressional Gold Medal Act"
w000792,109,HR,4354,2005-11-16,2006-02-06,Immigration,"Referred to the Subcommittee on Immigration, Border Security, and Claims.",https://api.congress.gov/v3/bill/109/hr/4354?format=json,109_HR_4354,To amend the Immigration and Nationality Act to establish a separate nonimmigrant classification for fashion models.
w000792,109,HR,604,2005-02-02,2005-03-02,Immigration,"Referred to the Subcommittee on Immigration, Border Security, and Claims.",https://api.congress.gov/v3/bill/109/hr/604?format=json,109_HR_604,To halt the issuance of visas to citizens of Saudi Arabia until the President certifies that the Kingdom of Saudi Arabia does not discriminate in the issuance of visas on the basis of religious affiliation or heritage.
w000792,111,HR,6076,2010-07-30,2010-07-30,"Arts, Culture, Religion",Referred to the House Committee on Financial Services.,https://api.congress.gov/v3/bill/111/hr/6076?format=json,111_HR_6076,"Father Mychal Judge, O.F.M., Congressional Gold Medal Act"
