bioguideId,name,row_count
c001038,,249
f000454,,249
w000672,,249
b001285,,247
b000382,,246
a000217,,246
r000599,,245
m001157,,245
t000278,,245
h001015,,243
w000792,,242
l000557,,242
c001042,,241
c000488,,241
d000399,,241
c001036,,241
r000141,,241
l000562,,240
t000193,,239
s000465,,238
g000548,,237
b000619,,237
g000336,,236
k000336,,236
a000368,,235
d000598,,235
j000288,,234
g000289,,234
d000197,,233
n000015,,233
h000074,,231
n000127,,230
p000599,,230
s001144,,230
l000569,,230
m001180,,230
g000309,,229
s001156,,229
m000309,,228
u000031,,228
p000444,,227
f000450,,227
c001071,,225
c000984,,225
b000213,,224
l000582,,224
d000136,,222
s001044,,222
b000410,,221
g000559,,221
l000566,,221
b001234,,219
t000024,,219
m001120,,218
b001278,,218
l000263,,217
r000577,,217
b001250,,216
s000344,,216
h000528,,216
r000465,,215
s000510,,215
c000071,,214
h001028,,213
h001034,,213
c001080,,213
b000755,,213
m001159,,213
g000120,,213
c001096,,213
e000250,,212
a000121,,212
w000738,,210
p000258,,210
c001053,,209
c001061,,208
h000627,,207
p000608,,205
p000555,,204
t000472,,201
w000207,,201
h001068,,201
p000523,,201
a000356,,201
b001292,,201
s000597,,200
w000798,,199
p000197,,199
l000321,,199
c001034,,199
t000238,,198
g000550,,198
m001137,,196
d000624,,196
t000468,,196
r000295,,196
d000327,,194
g000552,,194
h000172,,193
t000469,,193
m001166,,192
m000714,,192
k000381,,191
b001305,,190
g000535,,188
c001097,,187
d000623,,187
h001069,,186
c001066,,186
d000596,,186
p000588,,186
g000367,,185
e000297,,185
m001197,,185
m000508,,183
l000564,,183
s000851,,183
w000804,,183
t000463,,182
s001197,,182
q000023,,182
l000571,,181
k000306,,181
c001067,,181
b001262,,181
s001190,,180
o000174,,180
r000033,,180
b000072,,180
c001049,,180
g000568,,179
c000830,,179
t000459,,178
r000585,,178
p000373,,178
s001191,,178
r000569,,177
m001162,,177
b001232,,176
p000594,,176
k000113,,175
l000563,,175
h000676,,174
d000607,,174
d000610,,173
c001069,,173
p000618,,173
d000299,,173
f000449,,173
b000657,,172
i000026,,171
g000579,,171
c001037,,171
r000578,,170
w000268,,170
p000149,,170
j000291,,169
f000372,,169
p000612,,169
l000517,,168
t000457,,167
w000194,,167
b001270,,167
s001196,,167
b001260,,166
p000422,,166
b000586,,166
f000010,,165
g000582,,165
r000486,,164
h001075,,164
f000466,,164
t000458,,163
s001214,,163
l000560,,163
s000749,,162
p000613,,162
w000793,,161
m001143,,161
k000382,,161
r000614,,159
d000217,,159
e000286,,159
b001299,,159
b001282,,158
s001208,,158
b000589,,158
s001183,,157
l000274,,157
c001091,,157
k000078,,157
w000273,,156
s001177,,155
s001148,,155
p000597,,155
h000413,,154
w000791,,154
b001304,,154
c001059,,154
a000370,,154
c001076,,153
b001281,,153
m001151,,152
d000601,,152
c000100,,152
c001072,,152
h000067,,151
k000376,,151
l000553,,151
t000474,,151
n000190,,151
c000380,,150
v000108,,150
j000298,,150
w000822,,150
w000797,,149
m001144,,149
w000808,,149
g000576,,149
f000238,,149
m000689,,148
k000375,,148
b000208,,148
f000030,,147
l000371,,147
w000790,,147
p000607,,147
s000018,,146
h000762,,146
b001203,,145
m001185,,145
h000814,,145
w000654,,145
p000591,,145
c001103,,145
k000380,,144
t000057,,144
r000582,,144
c000754,,144
t000478,,143
m001187,,143
s000718,,143
r000615,,142
s000275,,142
m001138,,142
s000394,,142
b001298,,142
o000175,,142
b000556,,142
m000477,,142
r000395,,141
d000619,,139
s000030,,139
e000172,,139
l000342,,138
p000593,,138
h001058,,137
c001062,,137
c001051,,136
b001255,,136
s001200,,136
t000260,,136
m001156,,136
b001245,,135
g000549,,135
e000092,,135
b000490,,135
d000429,,134
n000189,,134
f000043,,134
s001149,,134
b001251,,134
k000386,,134
p000419,,134
k000385,,134
s001180,,133
a000014,,133
m001165,,133
t000470,,133
w000803,,133
d000617,,133
w000413,,133
m001190,,132
g000180,,132
h001038,,132
k000389,,131
c001114,,131
m001177,,130
k000259,,130
n000081,,130
k000016,,130
b000287,,130
r000572,,129
h001048,,129
w000784,,129
j000294,,128
t000467,,128
k000391,,127
b000825,,127
b001242,,127
g000558,,127
w000789,,127
d000615,,127
l000554,,126
s001143,,126
g000574,,126
b001235,,126
n000181,,125
c001087,,125
o000171,,125
c001093,,125
b000013,,124
h001067,,124
h001036,,124
k000377,,124
j000070,,124
c000846,,123
p000604,,123
b001297,,123
d000614,,123
c001121,,122
f000451,,122
m000388,,121
l000565,,121
m001149,,121
c000994,,121
r000580,,120
g000152,,120
c001063,,120
g000571,,120
s001187,,120
b001227,,120
f000440,,119
r000170,,119
e000294,,119
f000445,,119
p000614,,119
c000537,,118
p000585,,118
d000032,,118
b000461,,118
a000375,,118
f000349,,118
o000107,,117
b001231,,117
s000364,,117
r000462,,117
g000439,,117
s001195,,116
h001079,,116
f000448,,116
h001037,,116
j000295,,116
f000455,,116
h001072,,115
k000378,,115
b000911,,115
w000812,,114
c000640,,114
s001078,,114
p000610,,114
b001273,,114
b001259,,114
j000283,,114
r000570,,114
p000617,,113
m001199,,113
g000545,,113
g000210,,112
l000579,,112
s001172,,111
b001229,,111
d000604,,111
n000182,,111
h001077,,111
y000062,,111
l000578,,110
s001165,,110
y000065,,110
b001296,,110
v000131,,110
