bioguideId,district,partyName,state,chamber,startYear,endYear,name
P000599,8.0,Republican,Florida,House of Representatives,2009,0,"Posey, Bill"
H001047,4.0,Democratic,Connecticut,House of Representatives,2009,0,"Himes, James A."
L000557,1.0,Democratic,Connecticut,House of Representatives,1999,0,"Larson, John B."
D000197,1.0,Democratic,Colorado,House of Representatives,1997,0,"DeGette, Diana"
W000187,43.0,Democratic,California,House of Representatives,1991,0,"Waters, Maxine"
B000490,2.0,Democratic,Georgia,House of Representatives,1993,0,"Bishop, Sanford D."
N000147,,Democratic,District of Columbia,House of Representatives,1991,0,"Norton, Eleanor Holmes"
W000797,25.0,Democratic,Florida,House of Representatives,2005,0,"Wasserman Schultz, Debbie"
D000600,26.0,Republican,Florida,House of Representatives,2003,0,"Diaz-Balart, Mario"
I000056,48.0,Republican,California,House of Representatives,2021,0,"Issa, Darrell"
C000059,41.0,Republican,California,House of Representatives,1993,0,"Calvert, Ken"
D000216,3.0,Democratic,Connecticut,House of Representatives,1991,0,"DeLauro, Rosa L."
M001225,15.0,Democratic,California,House of Representatives,2023,0,"Mullin, Kevin"
K000401,3.0,Republican,California,House of Representatives,2023,0,"Kiley, Kevin"
K000400,37.0,Democratic,California,House of Representatives,2023,0,"Kamlager-Dove, Sydney"
D000633,13.0,Republican,California,House of Representatives,2023,0,"Duarte, John S."
C001133,6.0,Republican,Arizona,House of Representatives,2023,0,"Ciscomani, Juan"
O000019,23.0,Republican,California,House of Representatives,2021,0,"Obernolte, Jay"
G000061,27.0,Republican,California,House of Representatives,2020,0,"Garcia, Mike"
H001090,9.0,Democratic,California,House of Representatives,2019,0,"Harder, Josh"
S001211,4.0,Democratic,Arizona,House of Representatives,2019,0,"Stanton, Greg"
L000589,8.0,Republican,Arizona,House of Representatives,2018,0,"Lesko, Debbie"
G000585,34.0,Democratic,California,House of Representatives,2017,0,"Gomez, Jimmy"
C001112,24.0,Democratic,California,House of Representatives,2017,0,"Carbajal, Salud O."
B001302,5.0,Republican,Arizona,House of Representatives,2017,0,"Biggs, Andy"
P000613,19.0,Democratic,California,House of Representatives,2017,0,"Panetta, Jimmy"
