bioguideid,congress,introducedDate,actionDate,text,number,policyArea,title,type,url
I000024,117,2022-12-01,2022-12-01,Read twice and referred to the Committee on Energy and Natural Resources.,5170,{'name': 'Public Lands and Natural Resources'},Route 66 National Historic Trail Designation Act,S,https://api.congress.gov/v3/bill/117/s/5170?format=json
I000024,117,2021-02-24,2022-12-15,Placed on Senate Legislative Calendar under General Orders. Calendar No. 651.,419,{'name': 'Government Operations and Politics'},CONTRACT Act of 2021,S,https://api.congress.gov/v3/bill/117/s/419?format=json
I000024,117,2022-03-31,2022-05-25,Committee on Energy and Natural Resources Subcommittee on Water and Power. Hearings held.,3971,{'name': 'Water Resources Development'},"A bill to amend the America's Water Infrastructure Act of 2018 to modify a provision relating to cost-sharing requirements applicable to certain Bureau of Reclamation dams and dikes, and for other purposes.",S,https://api.congress.gov/v3/bill/117/s/3971?format=json
I000024,117,2021-07-20,2021-07-20,Read twice and referred to the Committee on Energy and Natural Resources.,2394,{'name': 'Energy'},Federal Land Freedom Act of 2021,S,https://api.congress.gov/v3/bill/117/s/2394?format=json
I000024,117,2022-06-23,2022-06-23,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S3150; text: CR S3168-3169)",700,{'name': 'Sports and Recreation'},A resolution congratulating the University of Oklahoma Sooners softball team for winning the 2022 National Collegiate Athletic Association Women's College World Series.,SRES,https://api.congress.gov/v3/bill/117/sres/700?format=json
I000024,117,2022-03-24,2022-03-24,Read twice and referred to the Committee on Finance.,3917,{'name': 'Health'},Protecting Medicaid Beneficiaries Act of 2022,S,https://api.congress.gov/v3/bill/117/s/3917?format=json
I000024,117,2022-10-11,,,,{},,,https://api.congress.gov/v3/amendment/117/samdt/6449?format=json
I000024,117,2022-09-29,,,,{},,,https://api.congress.gov/v3/amendment/117/samdt/6423?format=json
I000024,117,2022-09-29,,,,{},,,https://api.congress.gov/v3/amendment/117/samdt/6070?format=json
I000024,117,2021-05-20,2021-05-20,Read twice and referred to the Committee on Finance.,1752,{'name': 'Transportation and Public Works'},National Center for the Advancement of Aviation Act of 2021,S,https://api.congress.gov/v3/bill/117/s/1752?format=json
I000024,117,2022-09-22,,,,{},,,https://api.congress.gov/v3/amendment/117/samdt/5605?format=json
I000024,117,2021-07-22,2021-07-22,"Read twice and referred to the Committee on Commerce, Science, and Transportation.",2458,{'name': 'Transportation and Public Works'},Certainty for General Aviation Pilots Act of 2021,S,https://api.congress.gov/v3/bill/117/s/2458?format=json
