bioguideid,congress,introducedDate,actionDate,text,number,policyArea,title,type,url
I000024,117,2022-12-01,blah,blha,5170,blah,Route 66 National Historic Trail Designation Act,S,https://api.congress.gov/v3/bill/117/s/5170?format=json
I000024,117,2021-02-24,blah,blha,419,blah,CONTRACT Act of 2021,S,https://api.congress.gov/v3/bill/117/s/419?format=json
I000024,117,2022-03-31,blah,blha,3971,blah,"A bill to amend the America's Water Infrastructure Act of 2018 to modify a provision relating to cost-sharing requirements applicable to certain Bureau of Reclamation dams and dikes, and for other purposes.",S,https://api.congress.gov/v3/bill/117/s/3971?format=json
I000024,117,2021-07-20,blah,blha,2394,blah,Federal Land Freedom Act of 2021,S,https://api.congress.gov/v3/bill/117/s/2394?format=json
I000024,117,2022-06-23,blah,blha,700,blah,A resolution congratulating the University of Oklahoma Sooners softball team for winning the 2022 National Collegiate Athletic Association Women's College World Series.,SRES,https://api.congress.gov/v3/bill/117/sres/700?format=json
I000024,117,2022-03-24,blah,blha,3917,blah,Protecting Medicaid Beneficiaries Act of 2022,S,https://api.congress.gov/v3/bill/117/s/3917?format=json
I000024,117,2022-10-11,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/6449?format=json
I000024,117,2022-09-29,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/6423?format=json
I000024,117,2022-09-29,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/6070?format=json
I000024,117,2021-05-20,blah,blha,1752,blah,National Center for the Advancement of Aviation Act of 2021,S,https://api.congress.gov/v3/bill/117/s/1752?format=json
I000024,117,2022-09-22,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/5605?format=json
I000024,117,2021-07-22,blah,blha,2458,blah,Certainty for General Aviation Pilots Act of 2021,S,https://api.congress.gov/v3/bill/117/s/2458?format=json
I000024,117,2021-06-22,blah,blha,2166,blah,RETAIN GPS and Satellite Communications Act of 2021,S,https://api.congress.gov/v3/bill/117/s/2166?format=json
I000024,117,2022-06-09,blah,blha,4370,blah,Keep Our Communities Safe Act of 2022,S,https://api.congress.gov/v3/bill/117/s/4370?format=json
I000024,116,2019-11-14,blah,blha,2869,blah,Keep Our Communities Safe Act of 2019,S,https://api.congress.gov/v3/bill/116/s/2869?format=json
I000024,117,2022-05-17,blah,blha,641,blah,"A resolution designating the week of May 15 through May 21, 2022, as ""National Public Works Week"".",SRES,https://api.congress.gov/v3/bill/117/sres/641?format=json
I000024,117,2021-10-27,blah,blha,3085,blah,HARMON Oklahoma Act,S,https://api.congress.gov/v3/bill/117/s/3085?format=json
I000024,117,2022-01-13,blah,blha,3497,blah,Medical Student Education Authorization Act of 2022,S,https://api.congress.gov/v3/bill/117/s/3497?format=json
I000024,117,2021-04-22,blah,blha,1326,blah,Domestic Manufacturing Protection Act of 2021,S,https://api.congress.gov/v3/bill/117/s/1326?format=json
I000024,117,2022-08-06,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/5254?format=json
I000024,117,2022-06-13,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/5094?format=json
I000024,116,2019-06-11,blah,blha,1790,blah,"National Defense Authorization Act 
for Fiscal Year 2020",S,https://api.congress.gov/v3/bill/116/s/1790?format=json
I000024,117,2021-07-20,blah,blha,2393,blah,Fracturing Regulations are Effective in State Hands Act,S,https://api.congress.gov/v3/bill/117/s/2393?format=json
I000024,117,2021-11-03,blah,blha,3146,blah,WALL Act of 2021,S,https://api.congress.gov/v3/bill/117/s/3146?format=json
I000024,116,2020-06-23,blah,blha,4049,blah,National Defense Authorization Act for Fiscal Year 2021,S,https://api.congress.gov/v3/bill/116/s/4049?format=json
I000024,115,2018-06-05,blah,blha,2987,blah,John S. McCain National Defense Authorization Act for Fiscal Year 2019,S,https://api.congress.gov/v3/bill/115/s/2987?format=json
I000024,114,2015-06-23,blah,blha,1647,blah,Developing a Reliable and Innovative Vision for the Economy Act,S,https://api.congress.gov/v3/bill/114/s/1647?format=json
I000024,117,2021-05-20,blah,blha,1765,blah,Future of Freight Mobility Act of 2021,S,https://api.congress.gov/v3/bill/117/s/1765?format=json
I000024,117,2021-05-20,blah,blha,1766,blah,Future Interstate in Oklahoma and Arkansas Act,S,https://api.congress.gov/v3/bill/117/s/1766?format=json
I000024,117,2021-03-10,blah,blha,678,blah,English Language Unity Act of 2021,S,https://api.congress.gov/v3/bill/117/s/678?format=json
I000024,117,2021-11-17,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/4774?format=json
I000024,117,2021-11-16,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/4715?format=json
I000024,117,2021-11-16,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/4720?format=json
I000024,117,2021-11-04,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/4451?format=json
I000024,117,2021-11-04,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/4432?format=json
I000024,117,2021-11-04,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/4429?format=json
I000024,117,2021-11-04,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/4428?format=json
I000024,117,2021-11-04,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/4431?format=json
I000024,117,2021-11-04,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/4430?format=json
I000024,117,2021-11-03,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/4257?format=json
I000024,117,2021-11-03,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/4258?format=json
I000024,117,2021-10-28,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/3944?format=json
I000024,117,2021-08-10,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/3677?format=json
I000024,117,2021-08-10,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/3676?format=json
I000024,117,2021-08-10,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/3678?format=json
I000024,117,2021-08-10,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/3331?format=json
I000024,117,2021-08-07,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/2646?format=json
I000024,117,2021-08-07,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/2642?format=json
I000024,117,2021-08-07,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/2643?format=json
I000024,117,2021-08-05,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/2618?format=json
I000024,117,2021-08-04,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/2492?format=json
I000024,117,2021-08-03,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/2471?format=json
