bioguideId	congress	type	number	introducedDate	actionDate	PolicyArea_name	Latest_Action_text	url	congress_type_number	title		
l000506	96	HR	6212	1979-12-20	1979-12-20	Environmental Protection	Referred to House Committee on Interstate and Foreign Commerce.	https://api.congress.gov/v3/bill/96/hr/6212?format=json	96_HR_6212	A bill to amend the Atomic Energy Act of 1954 to require each State to provide for the disposal of low-level radioactive waste generated within that State, to authorize States to enter into agreements or compacts with other States for the establishment of regional disposal sites for low-level radioactive waste, and to provide financial assistance to the States in which such sites are located, and for other purposes.		
l000506	93	HR	12567	1974-02-05	1974-02-05	Environmental Protection	Referred to House Committee on Interstate and Foreign Commerce.	https://api.congress.gov/v3/bill/93/hr/12567?format=json	93_HR_12567	Interstate Recycling Expansion Act		
s000094	102	HR	1525	1991-03-20	1991-04-08	Environmental Protection	Referred to the Subcommittee on Transportation and Hazardous Materials.	https://api.congress.gov/v3/bill/102/hr/1525?format=json	102_HR_1525	To authorize States to regulate solid waste in interstate commerce, to require States to adopt 20-year solid waste management plans, and for other purposes.		
s000997	96	HR	5849	1979-11-08	1979-11-08	Environmental Protection	Referred to House Committee on Public Works and Transportation.	https://api.congress.gov/v3/bill/96/hr/5849?format=json	96_HR_5849	A bill to amend title I of the Federal Water Pollution Control Act to authorize a demonstration project for the reclamation of the Hudson River.		
s000997	96	HR	5767	1979-10-31	1979-10-31	Environmental Protection	Referred to House Committee on Public Works and Transportation.	https://api.congress.gov/v3/bill/96/hr/5767?format=json	96_HR_5767	A bill to amend title I of the Federal Water Pollution Control Act to authorize a demonstration project for the reclamation of the Hudson River.		
m000811	100	S	1351	1987-06-10	1987-10-22	Environmental Protection	Committee on Environment and Public Works. Ordered favorably reported an original bill (S. 1894) in lieu of this measure.	https://api.congress.gov/v3/bill/100/s/1351?format=json	100_S_1351	Clean Air Standards Attainment Act of 1987		
m000811	100	S	321	1987-01-16	1987-10-22	Environmental Protection	Committee on Environment and Public Works. Ordered favorably reported an original bill (S. 1894) in lieu of this measure.	https://api.congress.gov/v3/bill/100/s/321?format=json	100_S_321	Acid Deposition Control Act of 1987		
m000811	97	S	1706	1981-10-06	1981-10-29	Environmental Protection	Committee on Environment and Public Works. Hearings held.	https://api.congress.gov/v3/bill/97/s/1706?format=json	97_S_1706	Acid Deposition Control Act		
m000811	97	S	1486	1981-07-15	1981-07-15	Environmental Protection	Read second time and referred to Senate Committee on Environment and Public Works.	https://api.congress.gov/v3/bill/97/s/1486?format=json	97_S_1486	Environmental Poisoning Compensation Act		
m000811	98	S	2023	1983-10-28	1983-10-28	Environmental Protection	Read twice and referred to the Committee on Environment and Public Works.	https://api.congress.gov/v3/bill/98/s/2023?format=json	98_S_2023	Mobile Source Emission Control Protection Act		
